Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
Reinert-Ritz GmbH,https://www.reinert-ritz.de,False,Flanschverbindungen,Hydrantenfittings,Revisionsöffnungen,Extrusionsmaschinen,Schweißmaschinen,Spritzgießmaschinen,Extrudierungen,Schweißungen,Spritzgießungen,Nordhorn,5496328.0,200-350,200,75000
KMK Metallwerke GmbH,https://www.kmk-metalltechnik.de,True,Baugruppen,Blechverarbeitungen,Systemlösungen,Fräsmaschinen,Kantmaschinen,Schweißmaschinen,Biegen,Laserschneiden,Schweißen,Kirchberg an der Iller,110462.0,No Match,,
STEINEL Normalien AG,https://www.steinel.com,True,Führungselemente,Gewindeformen,Stickstoffsysteme,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Erodieren,Fräsen,Schleifen,Villingen-Schwenningen,3793998.0,120-200,120,45000
G. A. Röders GmbH & Co. KG,https://roeders.com,True,Aluminium-Druckgussteile,Kunststoff-Spritzgussteile,Zink-Druckgussteile,CNC-Fräsmaschinen,Druckgussmaschinen,Schleifmaschinen,Anwendungsforschungen,Druckgüsse,Simulationen,Soltau,498259.0,10-15,10,3750
A. Schüth GmbH,https://schueth.de,False,Belüftungselemente,Dichtungen,gestanzte Teile,,,,,,,Schotten,859734.0,15-20,15,5625
Pentair Südmo GmbH,https://foodandbeverage.pentair.com,False,Anwendungen,Dienstleistungen,Lösungen,,,,,,,Riesbürg,3148024.0,120-200,120,45000
Ketten-Wulf Betriebs GmbH,https://www.kettenwulf.com,True,Antriebsketten,Förderketten,Kettenräder,CNC-Maschinen,Schleifmaschinen,Schweißanlagen,Fräsen,Schleifen,Schweißen,Eslohe (Sauerland),4002245.0,120-200,120,45000
Der Grüne Punkt – Duales System Deutschland GmbH,https://www.gruener-punkt.de,False,Nachhaltige Verpackungen,Systalen® Rezyklate,Verpackungslizenzierungen,,,,,,,Eisfeld,9036136.0,200-350,200,75000
Albert Pielhau GmbH & Co. KG,http://www.pielhau.de,True,Schmiedestücke,Schweißkonstruktionen,gehärtete Werkstücke,Induktionshärteanlagen,Schmiedepressen,Schweißgeräte,Härten,Schmieden,Schweißen,Halver,877962.0,15-20,15,5625
Sekisui Alveo BS GmbH,https://www.sekisuialveo.com,False,Funktionale Oberflächenprodukte,Polyolefin-basierte Schaumlösungen,Schaumstoffe,,,,,,,Bad Sobernheim,4904771.0,120-200,120,45000
BTE Biegetechnik Engineering GmbH,https://www.bte-biegetechnik.com,True,Biegen,Schweißen,Umformen,Biegemaschinen,Prototypenbaumaschinen,Schweißmaschinen,Biegen,Prototypenbau,Schweißen,Ilshofen,387421.0,10-15,10,3750
Müller Präzision GmbH,https://www.mueller-praezision.de,True,Drehungen,Fräsungen,Schleifungen,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen,Cham,11959500.0,350-600,350,131250
Fidlock GmbH,https://www.fidlock.com,False,magnetische Verschlüsse,,,,,,,,,Hannover,1069211.0,21-40,21,7875
GLEASON-PFAUTER Maschinenfabrik GmbH,https://www.gleason.com,False,Automatisierungen,Maschinen,Werkzeuge,Fasenmaschinen,Messtechniksysteme,Zylindermaschinen,Hobben,Mahlen,Schneiden,Ludwigsburg,3939671.0,120-200,120,45000
SZW Prophet GmbH,http://www.seilzugwerk.de,False,,,,,,,,,,Ilmenau,2312692.0,80-120,80,30000
DLB Oberviechtach GmbH & Co. KG,https://www.dlb-ovi.com,False,Litzen,Mehrfachdrähte,Seile,,,,,,,Oberviechtach,2692504.0,120-200,120,45000
ELAFLEX HIBY GmbH & Co. KG,https://elaflex.de,False,Armaturen,Schlauchleitungen,Zapfventile,Metallgussmaschinen,Montagemaschinen,Schraubmaschinen,Gießens,Mechanische Bearbeitungen,Montierens,Hamburg,3698752.0,120-200,120,45000
Meteor Umformtechnik GmbH & Co. KG,https://www.mendritzki.de,False,Broschüren,Präzisionsteile,Schneidwerkzeuge,,,,,,,Zella-Mehlis,2226906.0,80-120,80,30000
Cartonplast Group GmbH,https://www.cartonplast.com,False,Lagenpolster,Oberkappen,Paletten,,,,Desinfektionen,Inspektionen,Reinigungen,Dietzenbach,2862289.0,120-200,120,45000
F & G Normteile Dresden GmbH,https://fug-normteile.de,True,Drehteile,Kontaktstifte,Präzisionsdrehteile,Drehmaschinen,Kerbmaschinen,Schleifmaschinen,Drehungen,Kerben,Schleifen,Arnsdorf,2072353.0,80-120,80,30000
Boyd Corporation GmbH,https://www.boydcorp.com,False,Ingenieurmaterialien,Materialwissenschaften,Thermomanagementlösungen,,,,,,,Syke,900695.0,21-40,21,7875
Corodur Verschleiß-Schutz GmbH,https://www.corodur-thale.de,True,Auftragschweißungen,Fülldrähte,Panzerblechfertigungen,CNC-Maschinen,Drehmaschinen,Fräsmaschinen,Auftragschweißens,Innenrohrbeschichtungen,Lichtbogenspritzens,Thale,902211.0,21-40,21,7875
horizont group gmbh,http://group.horizont.com,False,Elektronische Spezialprodukte,Verkehrssicherheitstechnik,Weidezaunprodukte,,,,,,,Korbach,3547072.0,120-200,120,45000
Hans Pfeiffer GmbH,https://pfeiffer-praezision.com,True,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen,Friedenweiler,3032455.0,120-200,120,45000
MAFAC - E. Schwarz GmbH & Co. KG,https://www.mafac.de,True,Lohnreinigungen,Reinigungsanlagen,Sonderanlagen,,,,,,,Alpirsbach,1729938.0,60-80,60,22500
R + B Filter GmbH,http://www.rb-filter.de,False,Filterkassetten,Filterpatronen,Filterplatten,,,,,,,Langenbrettach,1177490.0,21-40,21,7875
Heismann Drehtechnik GmbH,https://www.heismann.de,True,Baugruppen,Drehteile,Präzisionsdrehteile,CNC-Drehmaschinen,Drehfräszentren,Lasertechniken,Drehungen,Fräsungen,Montagen,Velbert,1294763.0,40-60,40,15000
Härter Werkzeugbau GmbH,https://haerter.com,True,Metall-Kunststoff-Komponenten,Stanzteile,Werkzeuge,Erodiermaschinen,Fräsmaschinen,Laserschneidmaschinen,Einpresstechniken,Stanztechniken,Werkzeugbauten,Königsbach-Stein,458401.0,10-15,10,3750
Metallveredelungswerk Sulz a.N. GmbH,https://www.mv-sulz.de,True,Beschichtungen,Oberflächenveredelungen,Verfahren,Bandstrahlanlagen,Beschichtungsanlagen,Galvanikanlagen,Beschichtungen,Galvanisierungen,Oberflächenbehandlungen,Sulz am Neckar,4022711.0,120-200,120,45000
KOLEKTOR CONTTEK GmbH,https://conttek.de,False,Kontaktteile,Metall-Kunststoff-Verbundteile,Präzisionsstanzteile,Biegeautomaten,Spritzgussmaschinen,Stanzautomaten,Montagen,Spritzgüsse,Stanztechniken,Pforzheim,4292020.0,120-200,120,45000
Blech- und Technologiezentrum Linda GmbH,https://www.blectec.de,True,Biegemaschinen,Laserschneider,Stanzmaschinen,Abkantpressen,Laserschneidanlagen,Stanzen,Biegen,Laserschneiden,Stanzen,Jessen (Elster),5726193.0,200-350,200,75000
Brandenburger Liner GmbH & Co. KG,https://brandenburger-liner.com,False,Schlauchliner,UV-lichthärtende GfK-Schlauchliner,grabenlose Kanalsanierungen,,,,Imprägnierungen,UV-Härtungen,Wickeltechniken,Landau in der Pfalz,125266.0,No Match,,
Deutsche Mechatronics GmbH,https://dtmt.de/de/,True,Anlagen,Baugruppen,Systeme,Laserschneidmaschinen,Stanzmaschinen,Umformmaschinen,Laserschneiden,Stanzen,Umformen,Mechernich,1749153.0,60-80,60,22500
Hans Berg GmbH & Co. KG,https://www.berg-kg.de/de/,False,Präzisionskomponenten,Rohrkomponenten,Tiefziehteile,Bearbeitungsmaschinen,Pressen,Sondermaschinen,Fügetechniken,Kaltumformungen,Zerspanungstechniken,Reichshof,1598983.0,60-80,60,22500
Wiedemann GmbH,https://www.wiedemann-technik.de,False,Crashguards,Entwässerungstechnologien,Türen,,,,,,,Husum,1467272.0,40-60,40,15000
Wiedemann GmbH,https://www.wiedemann-technik.de,False,Crashguards,Entwässerungstechnologien,Türen,,,,,,,Deggendorf,1467272.0,40-60,40,15000
SD GmbH Klaus Hirsch,http://www.sdhirsch.de,False,,,,,,,,,,Türkheim,814492.0,15-20,15,5625
Steinmeyer Mechatronik GmbH,https://www.steinmeyer-mechatronik.de,False,Antriebe,Controller,Positioniersysteme,CNC-Bearbeitungszentren,Messsysteme,Montagemaschinen,Fräsen,Montierungen,Schleifen,Dresden,261803.0,No Match,,
Desoi GmbH,https://www.desoi.de,False,Injektionsgeräte,Injektionspacker,Injektionsschlauchsysteme,Drehmaschinen,Fräsmaschinen,Schweißmaschinen,Drehungen,Fräsungen,Schweißungen,Kalbach,472545.0,10-15,10,3750
Sill Optics GmbH & Co. KG,https://www.silloptics.de,False,Abbildende Optiken,Kundenspezifische Optiken,Laseroptiken,Fräsmaschinen,Poliermaschinen,Schleifmaschinen,Fräsen,Polieren,Schleifen,Wendelstein,4122647.0,120-200,120,45000
Baisch GmbH,https://www.baisch-metall.de,True,Gitterkonstruktionen,Schweißbaugruppen,Sonderkonstruktionen,Bohrmaschinen,Fräsmaschinen,Schleifmaschinen,Montagen,Oberflächenbehandlungen,Schweißens,Riedlingen,1247574.0,40-60,40,15000
HÄHL GmbH,http://www.haehl.com,False,Beschichtungen,Rollen,Verbundwerkstoffe,,,,,,,Kieselbronn,428501.0,10-15,10,3750
Sudhaus GmbH,https://sudhaus.de,False,Möbelschlösser,Sicherheitsprodukte,Verschlusskomponenten,Kunststoffspritzgussmaschinen,Zerspanungsmaschinen,Zinkdruckgussmaschinen,Kunststoffspritzgüsse,Zerspanungen,Zinkdruckgüsse,Iserlohn,1975575.0,80-120,80,30000
FORMTEC Kunststofftechnik GmbH,https://www.formtec-kt.com/de/,True,Baugruppen,Bauteile,Lösungen,CNC-Fräsen,Oberflächenveredelungen,PUR-Verbundsysteme,Montagen,Polyurethanverarbeitungen,Thermoformen,Dornstetten,1135241.0,21-40,21,7875
Bruks Klöckner GmbH,https://www.bruks-siwertell.com,False,Förderbänder,Schiffsentlader,Schiffslader,Förderbänder,Schiffsentlader,Schiffslader,Mischen,Pressen,Sieben,Alpenrod OT Hirtscheid,110546.0,No Match,,
GEBA Kunststoffcompounds GmbH,http://www.geba.eu,True,Kunststoffgranulate,Verbindungen,Wiederverbindungen,Compoundiermaschinen,Extruder,Mischmaschinen,Compoundierungen,Extrusionen,Mischungen,Ennigerloh,1048500.0,21-40,21,7875
Ortlinghaus-Werke GmbH,https://www.ortlinghaus.com,False,Bremsen,Kupplungen,Lamellen,,,,,,,Wermelskirchen,2567038.0,120-200,120,45000
Deventer Profile GmbH,https://www.deventer-profile.com,False,Fensterdichtungen,Innentürdichtungen,Türdichtungen,,,,,,,Berlin,1309593.0,40-60,40,15000
PRIMO Profile GmbH,https://www.primodeutschland.de,False,Extrusionsprofile,Kunststoffprofile,Polymerkomponenten,Extrusionsmaschinen,Kalibriermaschinen,Schneidemaschinen,Co-Extrusionen,Kunststoffextrusionen,Profilierungen,Blankenfelde-Mahlow,2292214.0,80-120,80,30000
Miba Industrial Bearings Germany GmbH,https://www.miba.com/de/,False,Gleitlager,Reibbeläge,Sinterformteile,,,,,,,Göttingen,1040871.0,21-40,21,7875
GTMB Metallteilfertigung GmbH,https://www.gtmb.de,True,Baugruppen,CNC-Drehteile,CNC-Frästeile,Automatendrehmaschinen,Drehmaschinen,Fräsmaschinen,Drehen,Fräsen,Montagen,Treuenbrietzen,1238121.0,40-60,40,15000
REMA TIP TOP AG,https://www.rema-tiptop.de,False,Fördergurte,Reifenreparaturmaterialien,Verschleißschutzmaßnahmen,,,,,,,Poing,5564402.0,200-350,200,75000
Hutzel DrehTech GmbH,https://www.hutzel.de,False,,,,,,,,,,Steinenbronn,5679364.0,200-350,200,75000
Sixt GmbH Werkzeugbau und Stanzerei,https://www.sixt-gmbh.de,True,Folgeverbundteile,Stanzteile,Tiefziehteile,Exzenterpressen,Hydraulikpressen,Stanzautomaten,Stanzen,Tiefziehen,Umformen,Magstadt,2006098.0,80-120,80,30000
KMA Umwelttechnik GmbH,https://www.kma-filter.de,False,Elektrofilter Plattenfilter,Elektrofilter Röhrenfilter,Filter-Reinigungssystem,,,,,,,Königswinter,757720.0,15-20,15,5625
Precision Dispensing Solutions,https://www.precisionglobal.com,False,Aerosolaktoren,Aerosoldosenkappen,Aerosolventile,,,,,,,Hattersheim am Main,3569818.0,120-200,120,45000
Wunderlich GmbH,https://www.wunderlich.de,False,Ersatzteile,Geschenkgutscheine,Zubehör,,,,,,,Grafschaft,292388.0,No Match,,
gh AUER GUSS GmbH,https://www.auer-guss.de,True,Baugruppen,Druckgussteile,Prototypen,CNC-Bearbeitungsmaschinen,Gießmaschinen,Stanzmaschinen,CNC-Bearbeitungen,Gießens,Stanzungen,Amberg,1265264.0,40-60,40,15000
Heinz Dreeskornfeld GmbH & Co. KG,https://www.dreeskornfeld.de,True,Baugruppen,Blechteile,Metallverarbeitungen,Abkantmaschinen,Laserschneidmaschinen,Stanzmaschinen,Abkanten,Laserschneiden,Stanzen,Bielefeld,2832914.0,120-200,120,45000
DRADURA Holding GmbH & Co. KG,https://www.dradura.com/de/,True,elektropolierte drähte,galvanisierte drähte,stahldrahtprodukte,automatisierte produktionslinien,automatisierte verpackungssysteme,digitale qualitätsprüfsysteme,automatisierte herstellungen,digitale qualitätskontrollen,lean-managements,Altleiningen,1869948.0,80-120,80,30000
OVALO GmbH,https://www.ovalo.de,False,Drehtische,Präzisionsgetriebe,Wellgetriebe,,,,,,,Limburg an der Lahn,5381313.0,200-350,200,75000
MAAS Profilzentrum GmbH,https://www.maasprofile.de,False,Kantteile,Trapezbleche,Wellbleche,,,,,,,Ilshofen,232268.0,No Match,,
Harbort GmbH & Co. KG,https://www.harbort.de,False,Bauteile,Schaumstoffe,Vliesstoffe,,,,,,,Schneverdingen,1072410.0,21-40,21,7875
ASMPT AMICRA GmbH,https://amicra.semi.asmpt.com,False,Die Flip Chip Bonder,High Speed Dispense Systeme,,,,,,,,Regensburg,910163.0,21-40,21,7875
HFB Wälzlager-Gehäusetechnik GmbH,https://www.hfb-waelzlager.de,False,Blocklager,Pendelrollenlager,Stehlager,5-Achsen-Bearbeitungszentren,CNC-Drehmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen,Buchen (Odenwald),340584.0,10-15,10,3750
WMH Herion Antriebstechnik GmbH,https://www.wmh-herion.de,False,Antriebselemente,Getriebetechniken,Zahnstangen,,,,,,,Wolnzach,2516827.0,120-200,120,45000
HKS Dreh-Antriebe GmbH,https://www.hks-partner.com,True,Drehantriebe,Schwenkmotoren,TiltRotatoren,CNC-Drehmaschinen,CNC-Fräsmaschinen,Zylindermaschinen,Drehen,Fräsen,Montagen,Wächtersbach,2900317.0,120-200,120,45000
GUMMI-WELZ GmbH u. Co. KG,http://www.gummi-welz.de,False,Einklemmschutzprofile,Gummiformteile,Gummiprofile,,,,Gummivulkanisationsverfahren,Klebe,,Neu-Ulm,152971.0,No Match,,
BOKELA GmbH,https://www.bokela.com,False,Crossflowfilter,Druckfilter,Vakuumfilter,,,,,,,Karlsruhe,244757.0,No Match,,
SWG Metallverarbeitung,http://www.swg-gmbh.com,True,CNC-Bearbeitungen,Rundtaktbearbeitungen,Sägetechniken,CNC-Bearbeitungszentren,Profilbearbeitungsmaschinen,Rundtaktautomaten,CNC-Bearbeitungen,Rundtaktbearbeitungen,Sägetechniken,Herborn,3259628.0,120-200,120,45000
LACROIX + KRESS GmbH,https://lacroixundkress.de,False,Kupferbeschichtete Aluminiums,Kupferbeschichtete Stähle,Kupferdrahterzeugnisse,Drahtziehmaschinen,Flechtmaschinen,Walzmaschinen,Flechten,Walzen,Ziehen,Bramsche,6845945.0,200-350,200,75000
Oehmetic GmbH,https://oehmetic.com,True,Pressungen,Punchings,Zeichnungen,Automatische Stanzpressen,Exzenterpressen,Hydraulikpressen,Pressungen,Stanzungen,Zeichnungen,Wilnsdorf,1598509.0,60-80,60,22500
VINCENZ WIEDERHOLT GmbH,https://www.wiederholt.com,False,Genaulängen,Kaltgezogene Sonderprofile,Präzisionsstahlrohre,Richtmaschinen,Schweißanlagen,Ziehbänke,Richten,Schweißen,Ziehen,Holzwickede,5779118.0,200-350,200,75000
NEUWEG Fertigung GmbH,https://www.nskeurope.de,False,Kugellager,Lineare Produkte,Rollenlager,,,,,,,Munderkingen,3275506.0,120-200,120,45000
Gartner Extrusion GmbH,http://www.gutmann-group.com,False,Aluminiumprofile,Bausysteme,Fassadensysteme,Extrusionsmaschinen,Oberflächenbehandlungsmaschinen,Weiterverarbeitungsmaschinen,Extrudierungen,Oberflächenbehandlungen,Weiterverarbeitungen,Gundelfingen,7725012.0,200-350,200,75000
Chemnitzer Zahnradfabrik GmbH & Co. KG,https://www.czf-getriebe.de,False,Sondergetriebe,Standardgetriebe,Verzahnungsteile,,,,,,,Chemnitz,2613084.0,120-200,120,45000
Bartolosch GmbH,https://www.bartolosch.de,True,Drehteile,Frästeile,Montagen,Drehmaschinen,Fräsmaschinen,,Drehungen,Fräsungen,Montagen,Friedewald,634050.0,10-15,10,3750
Jäger GmbH,https://www.jaeger-mengen.de,True,Bearbeitungsverfahren,Fertigungen,Oberflächenbehandlungen,,,,,,,Mengen,286558.0,No Match,,
Cytec Zylindertechnik GmbH,http://www.cytec.de,False,Spanntechniken,Spindeln,Zylinder,,,,,,,Jülich,955310.0,21-40,21,7875
Solmax Geosynthetics GmbH,https://www.solmaxgeosynthetics.de,False,Broschüren,Geokunststoffe,Technische Datenblätter,,,,,,,Hamburg,3926708.0,120-200,120,45000
DIRAK Dieter Ramsauer Konstruktionselemente GmbH,https://dirak.com,False,Lösungen,Maschinengriffe,Mechatronische Schließsysteme,,,,,,,Ennepetal,2151804.0,80-120,80,30000
GROB GmbH,https://www.grob-antriebstechnik.de,False,Elektrozylinder,Schubketten,Spindelhubgetriebe,,,,,,,Sinsheim,1256311.0,40-60,40,15000
Karl Popp GmbH & Co. KG,https://www.spaeh.de,True,Dichtungen,Gummiteile,Halbzeuge,CNC-Drehautomaten,Fräszentren,Stanzmaschinen,Drehen,Fräsen,Stanzen,Bad Bevensen,225978.0,No Match,,
Heber GmbH,https://www.heber.de,False,Dachzentralen,Rahmengeräte,Trocknungsanlagen,Biegemaschinen,Blechbearbeitungsmaschinen,Stanzmaschinen,Biegearbeiten,Blechbearbeitungen,Stanzarbeiten,Rotthalmünster,1090398.0,21-40,21,7875
STEINCO Paul vom Stein GmbH,https://www.steinco.com/de/,False,Rollen,Räder,Systemlösungen,,,,,,,Wermelskirchen,1782289.0,60-80,60,22500
f-tronic GmbH,https://www.f-tronic.de,False,Dosen,Verteiler,Zählerschränke,,,,,,,Saarbrücken,5894072.0,200-350,200,75000
EagleBurgmann Espey GmbH,https://www.eagleburgmann-espey.com,False,Dichtungslieferanlagen,Magnetkupplungen,Mechanische Dichtungen,,,,,,,Moers,2382323.0,80-120,80,30000
Deutsche Giessdraht GmbH,http://www.deutsche-giessdraht.de,False,Kupfergießwalzdraht,Kupferprodukte,Recyclingprodukte,Recyclinganlagen,Schmelzöfen,Walzmaschinen,Recycling,Schmelzen,Walzen,Emmerich am Rhein,2864234.0,120-200,120,45000
ST Extruded Products Germany GmbH,https://www.step-g.com/de/,True,Aluminium Komponenten,Aluminium Leichtbaulösungen,Aluminium Strangpressprofile,Oberflächenbehandlungsmaschinen,Strangpressmaschinen,Weiterverarbeitungsmaschinen,Oberflächenbehandlungen,Strangpressen,Weiterverarbeitungen,Vogt,38497770.0,350-600,350,131250
LEWA Attendorn GmbH,https://www.lewa-attendorn.com,True,Ausbildungsprogramme,Automationsanlagen,Zerspanungsmaschinen,CNC-Bohrwerke,Drehmaschinen,Fräsmaschinen,Bohrer,Dreher,Fräser,Attendorn,4107071.0,120-200,120,45000
Chart Industries,https://www.chartindustries.com,False,ISO-Container,Kryogene Transportanhänger,Schüttungsspeichertanks,,,,,,,Büttelborn,1140860.0,21-40,21,7875
Staiger GmbH & Co. KG,https://www.staiger.de,False,Magnetventile,Mikroventile,Proportionalventile,,,,,,,Erligheim,1257710.0,40-60,40,15000
Crane Process Flow Technologies GmbH,http://www.cranecpe.com,False,,,,,,,,,,Düsseldorf,283064.0,No Match,,
Rampf Formen GmbH,https://www.rampf.com,False,Formen,Pflastersteine,Platten,Erodiermaschinen,Fräsmaschinen,Schleifmaschinen,Erodieren,Fräsen,Schleifen,Allmendingen,1036470.0,21-40,21,7875
Endurance GmbH,http://www.enduranceoverseas.com,False,Automobilkomponenten,Bremssysteme,Getriebesysteme,Bearbeitungsgeräte,Gießmaschinen,Spritzgießpressen,Gießereien,Maschinenbau,Spritzgießverfahren,Massenbachhausen,12709650.0,350-600,350,131250
Paul Köster GmbH,https://www.paul-koester.de,False,Automationssysteme,Dichtheitsprüfungen,Montagetechniken,Fördertechniken,Portallösungen,Roboter,Automationen,Dichtheitsprüfungen,Montagen,Medebach,531691.0,10-15,10,3750
Raithel + Co. GmbH,https://www.raico-federn.de,True,Druckfedern,Schenkelfedern,Zugfedern,CNC-Biegemaschinen,CNC-Wickelmaschinen,CNC-Windemaschinen,Biegeprozesse,Wicklungen,Winden,Weißenstadt,691758.0,10-15,10,3750
Georg Martin GmbH,https://georgmartin.com/de/,False,Laserschneiden,Passelemente,Teile nach Zeichnungen,,,,Laserschneiden,,,Dietzenbach,1381833.0,40-60,40,15000
LST - Laserschneidtechnik GmbH,https://www.lstgmbh.de,True,Laserschneiden,Profilbearbeitungen,Rohrbearbeitungen,Biegemaschinen,Lasersysteme,Pressbremsen,Baugruppenfertigungen,Biegetechniken,Laserschneiden,Hövelhof,2566496.0,120-200,120,45000
Mozart AG,https://www.mozart-blades.com,False,Griffe,Klingen,Sonderanfertigungen,,,,,,,Solingen,1599679.0,60-80,60,22500
Weppler Filter GmbH,https://weppler-filter.com,False,Filter,Hightech-Filter,Mikrofilter,,,,,,,Oberursel (Taunus),538541.0,10-15,10,3750
Durbal Metallwarenfabrik GmbH,https://www.durbal.de,False,Gelenkköpfe,Gelenklager,Systemstangen,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehen,Fräsen,Schleifen,Öhringen,928037.0,21-40,21,7875
GEWO Feinmechanik GmbH,https://www.gewo.net,True,Laborgeräte,Pipettenspüler,Zubehör,Drehmaschinen,Erodiermaschinen,Fräsmaschinen,Drehungen,Erodierungen,Fräsen,Wörth,1736343.0,60-80,60,22500
Brady GmbH,https://www.brady.de,False,,,,,,,,,,Egelsbach,880409.0,15-20,15,5625
Fritz Brenner GmbH & Co. KG,https://brenner-blech.de,True,Konstruktionen,Prototypen,Serienwerkzeuge,CNC-Bearbeitungsmaschinen,Laserschneidmaschinen,Wasserstrahlschneidmaschinen,Bohren,Fräsen,Schleifen,Gaimersheim,1488086.0,40-60,40,15000
Aerocom GmbH & Co,https://www.aerocom.de/de/,False,Durchlaufstationen,Endstationen,Steuerungssysteme,,,,,,,Schwäbisch Gmünd,586423.0,10-15,10,3750
Hellma GmbH & Co. KG,https://www.hellma.com,False,Küvetten,Prozesssonden,UV/Vis-Referenzmaterialien,,,,,,,Müllheim,824625.0,15-20,15,5625
rogatti BEWEGUNGSTECHNIK GmbH & Co. KG,https://www.rogatti.de,False,Kundenspezifische Lösungen,Schlauchschneidemaschinen,Standardlösungen,5-Achsen Bearbeitungszentren,CNC-Maschinen,,Drehungen,Fräsungen,Schleifungen,Auenwald,274217.0,No Match,,
EZU-Metallwaren GmbH & Co. KG,https://www.ezu.de/de/,True,Hartzerspanungen,Präzisionsdrehteile,Rohlinge,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsen,Schleifen,Königsheim,5550564.0,200-350,200,75000
Stahl Maschinenbau GmbH,https://www.stahl-mb.de,True,Montagearbeitsplätze,Präzisionswerkzeuge,Testadapter,CNC-Maschinen,Montagestationen,Testsysteme,Kalibrierungen,Montagen,Prüfungen,Pentling,32255.0,No Match,,
GSC-Schwörer GmbH,https://gsc-schwoerer.de,False,Getriebe,Getriebemotoren,Getriebeteile,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehen,Fräsen,Schleifen,Eisenbach (Hochschwarzwald),2672764.0,120-200,120,45000
